,S1_TC_BC_Ambient.temperature,S1_TC_Drip_Tray.temperature,S1_TC_HS_AL_Plate.temperature,S1_TC_HS_E2_9.temperature,S1_TC_LOx_Tank.temperature,missionTime
107,61.28206136,-42.46685173,-43.43514713,-31.26944947,-14.66387277,-49.26750183
108,61.2803232014009,-42.467874247691,-43.435118965751165,-31.27017816974641,-14.663633991407012,-49.16750336
109,61.27621104019536,-42.47029333509942,-43.4350523343566,-31.271902138335488,-14.663069085496062,-49.06750107
110,61.27209855544,-42.47271261284455,-43.43498569771939,-31.273626242568493,-14.662504135137633,-48.96750259
111,61.26798619814365,-42.47513181560856,-43.43491906314747,-31.275350293366014,-14.661939202288815,-48.86750031
112,61.26387390947909,-42.47755097799811,-43.434852429687616,-31.27707431539058,-14.661374278868257,-48.76750183
113,61.26149975,-42.47894764,-43.43481396,-31.27806965,-14.66104813,-48.66750336
114,61.26149975,-42.47894764,-43.43481396,-31.27806965,-14.66104813,-48.56750107
115,61.26149975,-42.47894764,-43.43481396,-31.27806965,-14.66104813,-48.46750259
116,61.26149975,-42.47894764,-43.43481396,-31.27806965,-14.66104813,-48.36750031
117,61.26149975,-42.47894764,-43.43481396,-31.27806965,-14.66104813,-48.26750183
118,61.26096011590268,-42.47642339313719,-43.43480024831934,-31.27680233481232,-14.661362652453349,-48.16750336
119,61.25968343886262,-42.47045147989236,-43.43476780895356,-31.27380409543004,-14.662106755905592,-48.06750107
120,61.25840672225192,-42.46447938154787,-43.43473536858231,-31.270805763117227,-14.66285088242135,-47.96750259
121,61.25712958558354,-42.45850531829922,-43.43470291753773,-31.267806444311013,-14.663595253765177,-47.86750031
122,61.2558530637822,-42.45253413121463,-43.43467048211643,-31.264808569502385,-14.664339266737484,-47.76750183
123,61.25511624,-42.44908749,-43.43465176,-31.26307816,-14.66476872,-47.66750336
124,61.25511624,-42.44908749,-43.43465176,-31.26307816,-14.66476872,-47.56750107
125,61.25511624,-42.44908749,-43.43465176,-31.26307816,-14.66476872,-47.46750259
126,61.25511624,-42.44908749,-43.43465176,-31.26307816,-14.66476872,-47.36750031
127,61.25511624,-42.44908749,-43.43465176,-31.26307816,-14.66476872,-47.26750183
128,61.25506909792238,-42.44852107082031,-43.43463434417544,-31.26251455555025,-14.665022934912994,-47.16750336
129,61.2549575500928,-42.447180806807374,-43.43459313476068,-31.26118095176597,-14.665624459564082,-47.06750107
130,61.254846008911805,-42.445840622678,-43.4345519278021,-31.25984742746829,-14.666225948362587,-46.96750259
131,61.254734466667024,-42.44450042576726,-43.43451072045054,-31.25851389045275,-14.666827442897503,-46.86750031
132,61.25462289676421,-42.44315989654091,-43.43446950288119,-31.25718002277299,-14.66742908657918,-46.76750183
133,61.25455852,-42.4423864,-43.43444572,-31.25641037,-14.66777624,-46.66750336
134,61.25455852,-42.4423864,-43.43444572,-31.25641037,-14.66777624,-46.56750107
135,61.25455852,-42.4423864,-43.43444572,-31.25641037,-14.66777624,-46.46750259
136,61.25455852,-42.4423864,-43.43444572,-31.25641037,-14.66777624,-46.36750031
137,61.25455852,-42.4423864,-43.43444572,-31.25641037,-14.66777624,-46.26750183
